Timestamp|Full Names|Student ID|Hometown (surburb/town/province---e.g. Kabwata/Lusaka/Lusaka)|What is your programme Minor (e.g. Mathematics, Languages)|What made you decide on your programme minor?|Why did you decide to major pursue the B.ICTs Ed. Programme?|Did you study Computer Studies at secondary school?|Have you undergone any computer related training?|If your response to the question above is year, please provide details of the type of course and/or training|How many years experience do you have using computers?|Do you currently own a computer or have regular access to one?|List one interesting fact about yourself (e.g. I cycle everyday!):
2019/04/03 1:03:26 PM GMT+2|Participant16|ee3f8e4efc99e7ab9a8a384fa8eb1f0d|CHIPATA|LANGUAGES|WANTED TO HAVE MORE INCITE ABOUT THE LANGUAGE DEPARTMENT IN EDUCATION|MY AIM IS TO BECOME A PROGRAMER OR ICT SPPECIALIST SOME DAY|No|No||No Experience|Yes| I LOVE SINGING
2019/04/03 1:07:20 PM GMT+2|Participant17|8a0cc50f06c959e79f10e0d78938f34c|KATETE/KATETE/EASTERN|GEOGRAPHY|I have always had interest in geography as a study|i want to be a part of the technological world at large|No|No||Less than 1 year|Yes|I listen to music everyday
2019/04/03 1:10:20 PM GMT+2|Participant18|fdf1e8906330fc223926f199b24dfccc|SINDA|MATHEMATICS|I ENJOY IT|BECAUSE ITS MARKETABLE|No|No||No Experience|No|I LIKE SINGING
2019/04/03 1:13:33 PM GMT+2|Participant19|3975b7445569d0094df2313b91edc5ee|Lusaka Garden compound |Languages 1220 and 1200|To improve my gramma plus it is marketable  in the industry.|Because the world is going technological hence am able to work anywhere after graduation. |No|Yes|It was a six months course in 2017...i did Microsoft office, information systems and components of a computer but the all 2018 I stayed without a computer and without studying so I feel blank sometimes.|1 to 2 years|No|I make friends everyday!
2019/04/03 1:16:07 PM GMT+2|Participant20|3f02716971e5569157e449171db99bd0|Salama Park /Ibex Hill/Lusaka|RES1010|To understand and apprecite different belief on religion |ICT is evolving hence giving time to learn new things related to ICT.IT helps me think big.|No|Yes|Magement of information system|1 to 2 years|Yes|Am able
2019/04/03 1:23:30 PM GMT+2|Participant21|bb9f0841bff4b55c1a7a1955b5b74484|Kaoma/Kaoma/Western|Languages |It looked interesting |It was the closest course to Computer Science outside The School of Natural Science |No|No||More than 5 years|Yes|I read atleast 1 novel every month
2019/04/03 2:02:38 PM GMT+2|Participant22|cf45b77eb333e7cc57e21b65f028e065|Mumbwa central|Religious studies |Cause I want to know why we have so many different religions,belief and yet we all believe that there is  a supreme being we worship and yet have seen it.| Because it's marketable and  I want to   knowledgeable about ict since we are in the digital world and would also love to study computer engineering.|No|No||No Experience|No|I love singing
2019/04/03 2:32:42 PM GMT+2|Participant23|5fce19e754e0676ec5e375f35eab7d07|Kabangwe/Chibombo/Central|History|I  love history |Want to be more knowledgeable about technology and computers|No|No|Nil|No Experience|Yes|I love art
2019/04/03 2:55:27 PM GMT+2|Participant24|c15cb4fe50d8d4bbf4183db4c2009bc8|Mulonga/Mwense/Luapula|Religious Studies|I want to know more about world religions|To know more about ICTs because we are living in the world where everything involves technology|No|No||No Experience|No|I sing everyday
2019/04/03 2:55:36 PM GMT+2|Participant25|fa8a6fcf286550633947b2307ae48e17|Lusaka|History|The love I have for the subject and the thought of one day pursuing Law|To have knowledge of the technological world we living in today|No|Yes|Microsoft office |Less than 1 year|Yes|Love reading novels and adventure
2019/04/03 3:49:26 PM GMT+2|Participant26|5fce19e754e0676ec5e375f35eab7d07|Kabangwe/Chibombo/Central|History|Cause  I love to find out about historical facts and how the people lived in the past is it similar to us now or not|Want to have a wide knowledge about computers and technology in today's world|No|No|Nil|Less than 1 year|Yes|I love art 
2019/04/03 6:23:16 PM GMT+2|Participant27|22715c16695fbee10c51841b033d37b3|Lusaka|french|cause I did French for secondary and wanted to continue and understand it more.|fascination in computers and technology.|Yes|No||More than 5 years|Yes|I love to exercise.
2019/04/03 10:12:12 PM GMT+2|Participant28|faedb7523d6f7504bdaa8347bf5dab45|Nyimba, eastern province of Zambia |Mathematics |I like mathematics |To teach others out there and to improve Zambia to a developed nation, most important my dream of becoming a software programmer|No|No|No|No Experience|No|I am a slow learner 
2019/04/03 10:35:07 PM GMT+2|Participant29|37612ba8a2d716a4e37f6828a1ea36df|Jesmondine/Lusaka/Lusaka|Academic writing and study skills|i have issues with my academic writing skills|we live in a technological world that's developing every day and so i'm eager to learn more about it|Yes|No||More than 5 years|Yes|i enjoy dancing
2019/04/04 1:15:54 AM GMT+2|Participant30|57a47f39353c1f0dd1679e3263d4df17|LUSAKA|MATHEMATICS|AM GOOD AT SOLVING BINARY DIGITS AND JUST HAVE PASSION FOR MATH|INORDER FOR ME TO A WIDER UNDERSTANDING WITH OPERATING COMPUTERS SO THAT EVEN I DECIDE TO STUDY SOMETHING ELSE OTHER THAN ICTS,I WILL STILL HAVE SKILL OF ICTS  WERE IT IS APPLICABLE IN THAT SAME COURSE OR STUDY|No|No|NIL|1 to 2 years|Yes|I ADAPT EASILY TO NEW THINGS
2019/04/04 1:25:25 AM GMT+2|Participant31|6acadbe73708ce0a3f6af96103eef112|DAMBWA,LIVINGSTONE|MATHEMATICS|IT HAD ALWAYS BEEN MY DESIRE TO DO MATHEMATICS|IN ORDER TO LEAD MY NATION INTO THE WORLD OF TECHNOLOGY|No|No||No Experience|Yes|FLEXIBLE
2019/04/04 12:11:20 PM GMT+2|Participant32|a29223406b14bc65520ee245737316ac|Chudleigh/Lusaka/Lusaka|French|I decided to take French as a minor because I want to improve on my French speaking and writing skills. Also because it is one of the official languages of Canada, the country I was born in and I would love to return to Canada someday and live and work there in Quebec. I also love the French language.|I decided to pursue B.ICTs Ed because I love working with computers and their peripheral devices. I also want to learn more about software development, computer hardware and computer networks and someday help to improve the computing industry in Zambia by developing software tailored to Zambia's needs as well as develop computer hardware. One of the things I have in mind is to start up a computer assembly plant right here in Zambia and later also manufacture our own Zambian brand of computers.|No|Yes|"I studied Computer Systems Engineering Certificate (CCSE, 2014) and Diploma (DCSE, 2015 sat for theory papers) (Evelyn Hone College under TEVETA) and Android Mobile Application Development (CICT, UNZA (2016)). With CCSE and DCSE we learnt about the different types of computer systems, their uses and applications, we also learnt the basics of CPU design, management of information systems and how to develop solutions to everyday problems that come up, and programming and entrepreneurial skills. With Android Mobile Application Development I learnt how to develop applications for the Android operating system be it for mobile devices, wear devices or Television using the Java programming language.

The courses I took under CCSE are Engineering Mathematics, Engineering Science, Digital Electronics, Information Technology and Application Packages (Theory and Practical), Computer Hardware Maintenance and Repair (Theory and Practical), Computer Networks and Communications (Theory and Practical), Communication Skills and Foundation for Management. The courses I took under DCSE are Digital Electronics II, Computer Hardware Maintenance and Repair II, Computer Networks and Communications II, Management Information Systems, Entrepreneurship, Programming and Database Technology (Theory and Project (project is still pending submission, hopefully it will be done this year and submitted either this year or next year)) and Operating Systems. "|More than 5 years|Yes|I research about relationships and how men and women differ in the way they think and view relationships and how they relate with each other.
2019/04/04 8:49:41 PM GMT+2|Participant33|0f9d912140869906179e2ac7b8c02fa5|Kanyama/Lusaka/Lusaka|Geography|Because am very passionate about it|The world is changing in terms of technology, but our country Zambia still remains behind in adoption of technology. Therefore, I want to be one of those who will take Zambia to another level in terms of technology after I pursue my degree.|No|No||No Experience|No|Simple exercise like push-ups
2019/04/04 9:08:34 PM GMT+2|Participant34|0f9d912140869906179e2ac7b8c02fa5|Kanyama/Lusaka/Lusaka|Geography|Because am very passionate about it|The world is changing in terms of technology, but our country Zambia still remains behind in adoption of technology. Therefore, I want to be one of those who will take Zambia to another level in terms of technology after I pursue my degree.|No|No||No Experience|No|Simple exercise like push-ups
2019/04/05 1:26:27 AM GMT+2|Participant35|15024b9c5e4e9ddacda60a9f11e59ebe|Lusaka|Language|Results made me choose it,but enjoying it now|I did a short networking and hardware maintenance with the CICT in 2017 that's where I developed an interest to learn more about software|No|Yes|Computer networking and hardware maintenance|Less than 1 year|Yes|None much interesting about me
2019/04/05 8:41:05 AM GMT+2|Participant36|0f9d912140869906179e2ac7b8c02fa5|Kanyama/Lusaka/Lusaka|Geography|Because am very passionate about it|The world is changing in terms of technology, but our country Zambia still remains behind in adoption of technology. Therefore, I want to be one of those who will take Zambia to another level in terms of technology after I pursue my degree.|No|No||No Experience|No|Simple exercise like push-ups
2019/04/05 9:01:53 AM GMT+2|Participant37|1ffea8832ef6ac0d73a09a441562393a|8 miles / chibombo/ Central province |History |It's seemed like the best option |Computers interest me|Yes|No||No Experience|No|I am ambidextrous 
2019/04/08 4:53:14 AM GMT+2|Participant38|5f59b44f0c6a470fe410c0df68985274|Chamba valley, Lusaka|Mathematics|I felt maths would combine well with ICTs.. |"Though i didn't choose to do ict in the first place.. But then i thought to myself, "" since it is a new program, why not go for it, as jobs will be readily available."" And that's how got to the decision.."|No|No||1 to 2 years|Yes|Am a guitarist 
2019/04/08 11:33:44 AM GMT+2|Participant39|605fc2f11ca271de28344e0e13459fd5|Airport, Sowezi/NWP|Religious Education| Passionate for it|To learner more about Technology|No|Yes|Basics of computer.|More than 5 years|Yes|Researching.
